ppn,isbn_normalise,titre,annee,nomAuteur,lieuPublication,editeur,sujet,raisons,Source,Ensemble,Acquisition,Occupations,date_naissance,date_deces
027149307,9782826401230,Mexique ancien,1964,"Stierlin, Henri",Fribourg - Paris,Office du livre - D. Vincent l'Equerre,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9782826401247,Monde grec,1964,"Martin, Roland",Fribourg,Office du livre,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9782830203653,<<Die>> Welt der Pharaonen,1983,"Stierlin, Henri",Genf,Edito-Service,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9782859610364,Le Monde des pharaons,1978,Henri Stierlin,Paris,Éditions Princesse,,,BNF,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9782859610678,Le Monde de Angkor,1979,Henri Stierlin,Paris,Éditions Princesse,,,BNF,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9782859611590,<<Le>> monde de l'Espagne,1982,"Stierlin, Henri",Paris,Éditions Princesse,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9782864250005,Monde grec,1980,"Martin, Roland",Fribourg,Office du livre,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9782867210433,Inde : des Moghols aux Maharadjas,1985,Henri Stierlin,Paris,Payot,Civilisation -- Inde -- 1200-1765 | Inde -- 1526-1765,deces_auteur,BNF,Genevensia,,,1928,2022
027149307,9782876620001,Tanis : les pharaons oubliés,1987,"Stierlin, Henri",[Paris],Muséart,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9782879393285,The pharaohs master-builders,2007,Henri Stierlin,Paris,Terrail,Antiquités -- Égypte | Architecture égyptienne,deces_auteur,BNF,Genevensia,,,1928,2022
027149307,9782879393292,L'or des pharaons,2007,Henri Stierlin,Paris,Terrail,Antiquités -- Égypte | Art égyptien,deces_auteur,BNF,Genevensia,,,1928,2022
027149307,9782879393308,The gold of the pharaons,2007,Henri Stierlin,Paris,Terrail,Antiquités -- Égypte | Art égyptien,deces_auteur,BNF,Genevensia,,,1928,2022
027149307,9783721500127,Kleinasiatisches Griechenland : klassische Kunst und Kultur von Pergamon bis Nimrud Dagh,1986,"Stierlin, Henri",Fribourg,Office du Livre,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
